,"region","sp","family","Kipps","guild","env","iso1","iso2","dist","Dgeo_m$dist","resist_dist$dist","saz_dist$dist","sta_dist$dist","re_sa_dist$dist","re_st_dist$dist","sa_st_dist$dist","sa_re_st_dist$dist","TDIV","resist_resi","saz_resi","sta_resi"
"1231","SS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA15778_S","S_LGEMA13417_S",0.113970588235292,192.632837043758,13.3448659562076,20.6919772435236,19.4034446520407,13.5965277963619,25.1799003883595,27.1281312930069,17.1361478374157,369263,-49.4509025635716,-18.4350053590186,-119.799374755524
"140","SS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18483_S","S_LGEMA15766_S",0.124832887700535,317.112614513353,25.5240440679062,30.0847162494876,35.3725895330018,26.5795701802523,43.9854476847636,42.8251765677729,28.1604682609096,369263,-73.7378586832762,-17.6686433665971,-196.027270496483
"1221","SS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA15766_S","S_LGEMA13417_S",0.104779411764704,192.632837043758,14.0123586417043,22.0837948156972,27.7120150418879,14.0254096027179,39.4485656372187,39.1637520632037,20.2811876359861,369263,-48.7834098780749,-17.043187786845,-111.490804365677
"126","SS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18483_S","S_LGEMA13417_S",0.132687165775397,154.58304105984,18.1822493092479,20.6071099242711,20.7034907410363,18.8265218341432,23.0619954123897,26.7343047356993,15.0810211898404,369263,-33.4668976786445,-15.8830436919258,-90.3174130389726
"168","SS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18483_S","S_LGEMA18142_S",0.118315508021389,226.746202110817,20.8908878648013,25.7116072421705,18.016585716392,21.9730644045874,17.51712329281,17.2686685136025,16.5565365673195,369263,-51.8983315986388,-15.7794119472859,-146.452597182273
"1821","SS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18483_S","S_LGEMA18394_S",0.119318181818174,226.746202110817,20.8908878648013,25.7116072421705,18.016585716392,21.9730644045874,17.51712329281,17.2686685136025,16.5565365673195,369263,-51.8983315986388,-15.7794119472859,-146.452597182273
"137","SS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA15778_S","S_LGEMA15766_S",0.121156417112301,0.1,8.16349426076295,15.683449961376,15.4044726055523,9.18086631624273,25.882326439275,20.9427948493241,17.2143224902357,369263,1.76988537133389,-10.1011177237548,18.8027901763425
"1102","NS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18142_S","N_LGEMA18672_Nm",0.987466577540109,889.667516175428,227.708913389365,79.3757236702403,567.645348817276,207.365326769679,639.195494576491,684.727662157664,708.443448073256,369263,-39.2819516340779,-8.05536146150225,-87.8223284904933
"1111","NS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18394_S","N_LGEMA18672_Nm",0.955046791443848,889.667516175428,227.708913389365,79.3757236702403,567.645348817276,207.365326769679,639.195494576491,684.727662157664,708.443448073256,369263,-39.2819516340779,-8.05536146150225,-87.8223284904933
"962","NS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18142_S","N_LGEMA18479_Nm",0.996490641711226,922.197113213632,229.089343583503,82.7247538682791,570.161392959685,208.762046530899,640.005772707547,689.974271655805,706.819394620178,369263,-47.4310102950943,-6.96061363650757,-109.399616136684
"971","NS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18394_S","N_LGEMA18479_Nm",0.964405080213906,922.197113213632,229.089343583503,82.7247538682791,570.161392959685,208.762046530899,640.005772707547,689.974271655805,706.819394620178,369263,-47.4310102950943,-6.96061363650757,-109.399616136684
"683","NS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18142_S","N_LGEMA17784_Nm",0.999832887700539,922.165674136264,229.703589679149,84.0943877759736,569.712137875804,209.339213638056,640.591560525728,687.916915712051,707.509532517519,369263,-46.8075541764331,-5.58880101882621,-109.825585591749
"693","NS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18394_S","N_LGEMA17784_Nm",0.972092245989307,922.165674136264,229.703589679149,84.0943877759736,569.712137875804,209.339213638056,640.591560525728,687.916915712051,707.509532517519,369263,-46.8075541764331,-5.58880101882621,-109.825585591749
"822","NS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18142_S","N_LGEMA18138_Nm",0.951704545454545,922.165674136264,229.703589679149,84.0943877759736,569.712137875804,209.339213638056,640.591560525728,687.916915712051,707.509532517519,369263,-46.8075541764331,-5.58880101882621,-109.825585591749
